NUTS_CODE,NUTS_BN_CODE
ITG1,106
ITG1,106
ITG18,107
ITG19,107
IT,107
IT,107
ITG,107
ITG,107
ITG1,107
ITG1,107
EL422,108
EL,108
EL4,108
EL42,108
ES614,109
ES617,109
ES,109
ES,109
ES6,109
ES6,109
ES61,109
ES61,109
EL422,110
EL,110
EL4,110
EL42,110
EL421,111
EL,111
EL4,111
EL42,111
EL422,112
EL,112
EL4,112
EL42,112
ES615,113
ES,113
ES6,113
ES61,113
TR633,114
TRC11,114
TR,114
TR,114
TR6,114
TRC,114
TR63,114
TRC1,114
ES617,115
ES618,115
ES,115
ES,115
ES6,115
ES6,115
ES61,115
ES61,115
ES613,116
ES617,116
ES,116
ES,116
ES6,116
ES6,116
ES61,116
ES61,116
EL307,117
EL,117
EL3,117
EL30,117
ITG15,118
ITG17,118
IT,118
IT,118
ITG,118
ITG,118
ITG1,118
ITG1,118
TRB24,119
TR,119
TRB,119
TRB2,119
TR521,120
TR622,120
TR,120
TR,120
TR5,120
TR6,120
TR52,120
TR62,120
EL421,121
EL,121
EL4,121
EL42,121
TR611,122
TR613,122
TR,122
TR,122
TR6,122
TR6,122
TR61,122
TR61,122
ITG19,123
IT,123
ITG,123
ITG1,123
EL307,124
EL,124
EL3,124
EL30,124
TR323,125
TR,125
TR3,125
TR32,125
EL307,126
EL,126
EL3,126
EL30,126
TRC33,127
TR,127
TRC,127
TRC3,127
EL421,128
EL,128
EL4,128
EL42,128
ES611,129
ES,129
ES6,129
ES61,129
EL653,130
EL,130
EL6,130
EL65,130
ES613,131
ES614,131
ES,131
ES,131
ES6,131
ES6,131
ES61,131
ES61,131
ITG17,132
ITG19,132
IT,132
IT,132
ITG,132
ITG,132
ITG1,132
ITG1,132
TR611,133
TR612,133
TR,133
TR,133
TR6,133
TR6,133
TR61,133
TR61,133
TR521,134
TR611,134
TR,134
TR,134
TR5,134
TR6,134
TR52,134
TR61,134
EL421,135
EL,135
EL4,135
EL42,135
TR622,136
TR713,136
TR,136
TR,136
TR6,136
TR7,136
TR62,136
TR71,136
TR621,137
TR622,137
TR,137
TR,137
TR6,137
TR6,137
TR62,137
TR62,137
PT150,138
PT,138
PT1,138
PT15,138
PT150,139
PT181,139
PT,139
PT,139
PT1,139
PT1,139
PT15,139
PT18,139
